NAME,TYPE,Sector,ADDRESS_AB,CITY,PROVINCE,POSTAL_COD,longitude,latitude
Bishop Pinkham,Public School,SW,3304 63 Avenue SW,Calgary,AB,T3E5K1,-114.1306992,50.99726298
Acadia,Public School,SE,9603 5 Street SE,Calgary,AB,T2J1K4,-114.0539269,50.96761062
Rundle College Elementary,Private School,SW,7615 - 17 Ave SW,Calgary,AB,T3H3W5,-114.1973197,51.03671309
Eastside Christian Academy,Private School,SE,1320 Abbeydale Drive SE,Calgary,AB,T2A7L8,-113.93022,51.05195233
Dr. Gordon Townsend,Public School,NW,2888 Shaganappi Trail NW,Calgary,AB,T3B6A8,-114.1483456,51.07449452
St. Rita,Separate School,NW,7811 Ranchview Dr NW,Calgary,AB,T3G2B3,-114.1817531,51.11986617
James Fowler High,Public School,NW,4004 4 Street NW,Calgary,AB,T2K1A1,-114.0705163,51.08653215
Clear Water Academy,Private School,SW,2521 Dieppe Avenue SW,Calgary,AB,T3E7J9,-114.120974,51.01937604
"Calgary Islamic School, Akram Jomaa Campus",Public School,NE,2612 - 37 Avenue NE,Calgary,AB,T1Y5L2,-114.0004774,51.08758987
Calgary Academy,Private School,SW,1677 93 rd Street SW,Calgary,AB,T3H0R3,-114.2242479,51.03943008
Olympic Heights,Public School,SW,875 Strathcona Drive SW,Calgary,AB,T3H2Z7,-114.1807765,51.04596759
Hidden Valley,Public School,NW,10959 Hidden Valley Drive NW,Calgary,AB,T3A6J2,-114.11959,51.15025376
Our Lady of the Assumption,Separate School,NW,7311 34 Ave NW,Calgary,AB,T3B1N5,-114.1913503,51.08329961
Altadore,Public School,SW,4506 16 Street SW,Calgary,AB,T2T4H9,-114.0997332,51.01400266
Hugh A. Bennett,Public School,NE,40 Saddlelake Way  NE,Calgary,AB,T3J0V1,-113.9285483,51.13168396
Holy Family,Separate School,SE,904 32 St SE,Calgary,AB,T2A0Z1,-113.9878638,51.04553616
Branton,Public School,NW,2103 20 Street NW,Calgary,AB,T2M3W1,-114.1090305,51.07124691
Marion Carson,Public School,NW,5225 Varsity Drive NW,Calgary,AB,T3A1A7,-114.1614063,51.09291658
Buchanan,Public School,th,3717 Centre Street North,Calgary,AB,T2E2Y2,-114.0631478,51.08562966
FFCA High School Campus,Charter,NW,2116 McKay Road NW,Calgary,AB,T3B1C7,-114.1519278,51.06958106
Belfast,Public School,NE,1229 17A Street NE,Calgary,AB,T2E4V4,-114.0183083,51.06337499
St. Albert the Great,Separate School,SE,225 Prestwick Ave SE,Calgary,AB,T2Z3X3,-113.9600758,50.92150965
Blessed Cardinal Newman,Separate School,SE,16201 McKenzie Lake Blvd SE,Calgary,AB,T2Z2G7,-113.9888584,50.90733934
Dr. Roberta Bondar,Public School,SW,1580 Strathcona Drive SW,Calgary,AB,T3H5B1,-114.2055305,51.05033672
Riverbend,Public School,SE,65 Rivervalley Drive SE,Calgary,AB,T2C3Z7,-114.0185021,50.97215624
École du Nouveau-Monde,Francophone,NW,220 Scenic Acres Drive NW,Calgary,AB,T3L0E7,-114.215124,51.11159602
St. Martha,Separate School,NE,6020 4 Ave NE,Calgary,AB,T2A4B1,-113.9456454,51.0565473
Edgemont,Public School,NW,55 Edgevalley Circle NW,Calgary,AB,T3A4X1,-114.1435785,51.12888867
Valley View,Public School,SE,4105 26 Avenue SE,Calgary,AB,T2B0C6,-113.9752778,51.03005456
Ecole Terre des Jeunes,Francophone,NW,3720 - 42 Street NW,Calgary,AB,T3A0C6,-114.1499554,51.08531771
New Heights School and Learning Services,Private School,SW,4041 Breskins Drive SW,Calgary,AB,T3E7M1,-114.1221702,51.01847444
South Middle School Campus,Charter,SE,8710 Ancourt Rd. SE,Calgary,AB,T2H1V2,-114.053305,50.97529024
Douglas Harkness,Public School,NE,6203 24 Avenue NE,Calgary,AB,T1Y2C5,-113.9460446,51.07384348
William D. Pratt,Public School,NW,9850 Royal Oak Way NW,Calgary,AB,T3G0A4,-114.2240926,51.14936065
Maple Ridge,Public School,SE,10203 Maplemont Road SE,Calgary,AB,T2J1W3,-114.0419588,50.96189052
Jennie Elliott,Public School,SW,3031 Lindsay Drive SW,Calgary,AB,T3E6A9,-114.1272286,50.99612956
St. Brigid,Separate School,NW,730 Citadel Way NW,Calgary,AB,T3G5S6,-114.1877229,51.14634032
Battalion Park,Public School,SW,369 Sienna Park Drive SW,Calgary,AB,T3H4S2,-114.181901,51.02356691
Midsun,Public School,SE,660 Sunmills Drive SE,Calgary,AB,T2X3R5,-114.0309154,50.90184947
Dr. Gladys McKelvie Egbert,Public School,NE,6033 Madigan Drive NE,Calgary,AB,T2A5G9,-113.9415291,51.05889221
Calgary Jewish Academy,Private School,SW,6700 Kootenay Street SW,Calgary,AB,T2V1P7,-114.0926065,50.99349472
Monterey Park,Public School,NE,7400 California Boulevard NE,Calgary,AB,T1Y6R2,-113.9304829,51.07742466
West Springs,Public School,SW,8999 Wentworth Avenue SW,Calgary,AB,T3H0P7,-114.2167498,51.05843778
Renfrew Educational Services - Child Development Centre,Private School,NE,2050 - 21 Street NE,Calgary,AB,T3B2X9,-114.1439291,51.07476523
Rundle College Academy,Private School,SW,4330 - 16 Street SW,Calgary,AB,T2T4H9,-114.0997725,51.01529662
David Thompson,Public School,SE,9320 Arbour Crescent SE,Calgary,AB,T2J1K4,-114.0546514,50.96940359
Christine Meikle,Public School,NW,3525 50 Street NW,Calgary,AB,T3A2Y5,-114.1610657,51.08454469
Beddington Heights,Public School,NW,95 Bermuda Road NW,Calgary,AB,T3K2J6,-114.0793929,51.13174563
Holy Cross,Separate School,SE,3719 26 Ave SE,Calgary,AB,T2B0C6,-113.9795625,51.03005541
Erin Woods,Public School,SE,25 Erin Park Drive SE,Calgary,AB,T2B2Z9,-113.9657774,51.02269972
Marlborough,Public School,NE,4711 Maryvale Drive NE,Calgary,AB,T2A3A1,-113.9654996,51.05608357
Catherine Nichols Gunn,Public School,NE,6625 4 Street NE,Calgary,AB,T2K5C7,-114.057895,51.11164372
Arbour Lake,Public School,NW,27 Arbour Crest Drive NW,Calgary,AB,T3G4H3,-114.2091772,51.13465099
Dr. E.P. Scarlett High,Public School,SW,220 Canterbury Drive SW,Calgary,AB,T2W1H4,-114.0879719,50.94878736
Wilma Hansen,Public School,SE,963 Queensland Drive SE,Calgary,AB,,-114.0188704,50.9322873
St. Helena,Separate School,NW,320 64 Ave NW,Calgary,AB,T2K0L8,-114.0677619,51.1115067
National Sports,Public School,SW,"110, 151 Olympic Park Road SW",Calgary,AB,T3B6B7,-114.2210265,51.08479481
Rideau Park,Public School,SW,829 Rideau Road SW,Calgary,AB,T2S0S2,-114.0755637,51.02527662
Killarney,Public School,SW,3008 33 Street SW,Calgary,AB,T3E2T9,-114.1347293,51.02819342
Sam Livingston,Public School,SE,12011 Bonaventure Drive SE,Calgary,AB,T2J3G7,-114.0612703,50.94544818
Maria Montessori,Private School,NW,Chief Crowfoot School 2634 12 Ave NW,Calgary,AB,T2N1K6,-114.1235826,51.0627098
Monsignor A.J. Hetherington,Separate School,NE,4 Coral Springs Blvd NE,Calgary,AB,T3J3J3,-113.9340476,51.0995523
Wildwood,Public School,SW,120 45 Street SW,Calgary,AB,T3C2B3,-114.1521166,51.05158955
Falconridge,Public School,NE,1331 Falconridge Drive NE,Calgary,AB,T3J1T4,-113.9454326,51.09936414
Midnapore,Public School,SE,55 Midpark Rise SE,Calgary,AB,T2X1L7,-114.0551747,50.91504021
Colonel J. Fred Scott,Public School,NE,171 Whitehorn Road NE,Calgary,AB,T1Y3C4,-113.9681644,51.0877669
Banff Trail,Public School,NW,3232 Cochrane Road NW,Calgary,AB,T2M4J3,-114.1167588,51.08163948
Robert Thirsk High,Public School,NW,8777 Nose Hill Drive NW,Calgary,AB,T3G5T3,-114.1947783,51.13084134
Heritage Christian Academy,Public School,NE,2003 McKnight Boulevard NE,Calgary,AB,T2E6L2,-114.0101364,51.09213522
Connaught,Public School,SW,1121 12 Avenue SW,Calgary,AB,T2R0J8,-114.0877162,51.04153268
Nelson Mandela High,Public School,NE,45 Saddletowne Circle NE,Calgary,AB,T3J4W3,-113.9488457,51.12198057
Elboya,Public School,SW,4804 6 Street SW,Calgary,AB,T2S2N3,-114.0782137,51.01088338
W.O. Mitchell,Public School,NW,511 Silvergrove Drive NW,Calgary,AB,T3B4R9,-114.1942875,51.11369077
St. Elizabeth Seton,Separate School,NW,10845 Hidden Valley Dr NW,Calgary,AB,T3A6K3,-114.1104364,51.15110183
St. Maria Goretti,Separate School,NW,375 Hawkstone Dr NW,Calgary,AB,T3G3T7,-114.1777507,51.13452422
Terry Fox,Public School,NE,139 Falshire Drive NE,Calgary,AB,T3J1P7,-113.945104,51.10465691
Belvedere Parkway,Public School,NW,4631 85 Street NW,Calgary,AB,T3B2R8,-114.2115592,51.09271682
St. John Bosco Private,Private School,SE,712 Fortalice Cres SE,Calgary,AB,T2A2E1,-113.9594399,51.04660001
Citadel Park,Public School,NW,808 Citadel Drive NW,Calgary,AB,T3G4B8,-114.1742345,51.14545106
Ecole de La Source,Francophone,SE,360 - 94 Avenue SE,Calgary,AB,T2J0E8,-114.0618314,50.96917876
St. Benedict,Separate School,SW,10340 19 St SW,Calgary,AB,T2V1R2,-114.105447,50.9619937
Calgary French & International,Private School,SW,700 - 77 Street SW,Calgary,AB,T3H5R1,-114.1978322,51.06789493
Akiva Academy,Private School,SW,140 Haddon Road SW,Calgary,AB,T2V2Y3,-114.0778236,50.97327738
Chinook Winds Adventist Academy,Private School,SW,10101 - 2nd Avenue SW,Calgary,AB,T3B5T2,-114.2332662,51.07923421
Woodman,Public School,SW,8706 Elbow Drive SW,Calgary,AB,T2V1L2,-114.083213,50.97565831
Collingwood,Public School,NW,3826 Collingwood Drive NW,Calgary,AB,T2L0R6,-114.1032575,51.08578192
St. Patrick,Separate School,NE,6006 Rundlehorn Dr NE,Calgary,AB,T1Y2X1,-113.9467028,51.07198995
St. Mary's High,Separate School,SW,111 18 Ave SW,Calgary,AB,T2S0B8,-114.0640176,51.03661432
Colonel Walker,Public School,SE,1921 9 Avenue SE,Calgary,AB,T2G0V3,-114.0190347,51.034362
Emily Follensbee,Public School,SW,5139 14 Street SW,Calgary,AB,T2T3W5,-114.0955749,51.00763587
Mother Mary Greene,Separate School,NW,115 Edenwold Dr NW,Calgary,AB,T3A3S8,-114.1392386,51.1243068
Canadian Montessori School West,Private School,SW,1112 - 70 Avenue SW,Calgary,AB,T2V0P6,-114.0882622,50.99074473
Young Adult Program,Public School,NW,1403 29 Street NW,Calgary,AB,T2N2T9,-114.1344107,51.06466876
Banting and Best,Public School,SE,1819 66 Avenue SE,Calgary,AB,T2C2K5,-114.0138538,50.99372604
Discovering Choices - Bowness - Start Outreach,Public School,NW,4110 79 Street NW,Calgary,AB,T3B5C2,-114.2019032,51.08942953
Ramsay,Public School,SE,2223 Spiller Road SE,Calgary,AB,T2G4G9,-114.0457894,51.03318859
Mountain View Academy,Private School,NE,3915 34 Street NE,Calgary,AB,T1Y6Z8,-113.9861039,51.0884378
Rosscarrock,Public School,SW,1406 40 Street SW,Calgary,AB,T3C1W7,-114.1447822,51.04121638
École La Mosaïque,Francophone,NE,199 Martindale Blvd NE,Calgary,AB,T3J3G4,-113.9575118,51.1137667
Queen Elizabeth High,Public School,NW,512 18 Street NW,Calgary,AB,T2N2G5,-114.1019163,51.05620243
Valley Creek,Public School,NW,10951 Hidden Valley Drive NW,Calgary,AB,T3A6J2,-114.1166729,51.15023383
Lord Beaverbrook High,Public School,SE,9019 Fairmount Drive SE,Calgary,AB,T2H0Z4,-114.0616396,50.97309982
Maria Montessori School - cSPACE King Edward Location,Private School,SW,cSPACE Projects 1721-29 Avenue SW,Calgary,AB,T2T6T7,-114.1008834,51.02726986
Andrew Sibbald,Public School,SE,1711 Lake Bonavista Drive SE,Calgary,AB,T2J2X9,-114.0408775,50.9351786
Canyon Meadows,Public School,SW,395 Canterbury Drive SW,Calgary,AB,T2W1J1,-114.0780912,50.94741036
AADAC,Public School,NW,1005  17 Street NW,Calgary,AB,T2N2E5,-114.101692,51.06110534
Balmoral,Public School,NW,220 16 Avenue NW,Calgary,AB,T2M0H4,-114.0664802,51.06788182
St. Stephen,Separate School,SW,10910 Elbow Dr SW,Calgary,AB,T2W1G6,-114.0838525,50.95569541
Italian School of Calgary,Private School,NE,416-1 Avenue NE,Calgary,AB,T2E0B4,-114.0531472,51.0537463
Sir John Franklin,Public School,NE,2215 8 Avenue NE,Calgary,AB,T2E0T7,-114.0079231,51.05967722
Foothills Academy,Private School,NW,745 - 37 Street NW,Calgary,AB,T2N4T1,-114.1423066,51.06407216
Canadian Montessori,Private School,SW,1112 70 Avenue SW,Calgary,AB,T2V0P6,-114.0882622,50.99074473
Our Lady of Grace,Separate School,NW,736 Evanston Drive NW,Calgary,AB,T3P0N7,-114.1204866,51.17933944
"Calgary Islamic School, Omar Bin Al-Khattab Campus",Public School,SE,Omar Bin Al-Khattab Campus 225 28 Street SE,Calgary,AB,T2A5K4,-113.9938098,51.05074504
Bridlewood,Public School,SW,207 Bridleridge Way SW,Calgary,AB,T2Y0L4,-114.110662,50.90238361
Glenbrook,Public School,SW,4725 33 Avenue SW,Calgary,AB,T3E3V1,-114.1549975,51.0235114
Ernest Manning High,Public School,SW,20 Springborough Boulevard SW,Calgary,AB,T3H0N7,-114.1892353,51.03595702
Christ the King,Separate School,SE,333 Cranston Way SE,Calgary,AB,T3M1K6,-113.9759703,50.88783692
Vincent Massey,Public School,SW,939 45 Street SW,Calgary,AB,T3C2B9,-114.1534231,51.04403726
Braeside,Public School,SW,1747 107 Avenue SW,Calgary,AB,T2W0C3,-114.1016943,50.95667356
Peter Lougheed,Public School,NE,148 Saddletree Close NE,Calgary,AB,T3J5J1,-113.9556832,51.13066963
Cranston,Public School,SE,205 Cranston Drive SE,Calgary,AB,T3M1E8,-113.9872418,50.88678714
Evergreen,Public School,SW,367 Everstone Drive SW,Calgary,AB,T2Y0L3,-114.1065198,50.91692394
Calgary Arts Academy,Charter,SE,640 14th Avenue SE,Calgary,AB,T2G1E8,-114.0492422,51.03940198
Lord Shaughnessy High,Public School,SW,2336 53 Avenue SW,Calgary,AB,T3E1L2,-114.1139277,51.00651691
Dr. Martha Cohen,Public School,SE,116 Brightondale Park SE,Calgary,AB,T2Z0V1,-113.9447324,50.91709892
Master's Academy,Public School,SW,4414 Crowchild Trail SW,Calgary,AB,T2T5J4,-114.1165476,51.01531296
St. Catherine,Separate School,SW,11 Canata Close SW,Calgary,AB,T2W1P6,-114.0864826,50.94388174
Calgary German Language School Society,Private School,NW,3940 73 Street NW,Calgary,AB,T3B2L9,-114.1927889,51.08755906
Taradale,Public School,NE,170 Taravista Drive NE,Calgary,AB,,-113.9377551,51.12125306
Northwest Elementary Campus,Charter,NW,719-44 Ave NW,Calgary,AB,T2K0J5,-114.0780594,51.09317275
Grant MacEwan,Public School,NE,180 Falshire Drive NE,Calgary,AB,T3J3A5,-113.9429503,51.10642762
Bearspaw Christian School & College,Private School,NW,15001 - 69 Street NW,Calgary,AB,T3R1C5,-114.189516,51.18697362
Chaparral,Public School,SE,480 Chaparral Drive SE,Calgary,AB,T2X3S2,-114.0449682,50.88296401
Webber Academy,Private School,SW,1515 - 93 Street SW,Calgary,AB,T3H4A8,-114.2250221,51.04412145
Light of Christ,Separate School,NE,6270 Saddlehorn Dr NE,Calgary,AB,T3J0L8,-113.9412735,51.12953723
Art Smith Aero Centre,Post Secondary,,,Calgary,AB,T2E9B5,-114.0054563,51.1011594
Lake Bonavista,Public School,SE,1015 120 Avenue SE,Calgary,AB,T2J2L1,-114.0409238,50.94454098
Saddle Ridge,Public School,NE,368 Saddlecrest Boulevard NE,Calgary,AB,T3J5L6,-113.9368796,51.13688258
Access International College (Calgary) Inc.,Private School,00,B1 - 2451 Dieppe Avenue SW Box 100,Calgary,AB,T3E7K1,-114.1190388,51.01928658
Colonel Irvine,Public School,NW,412 Northmount Drive NW,Calgary,AB,T2K3H6,-114.0799321,51.09243676
Asasa Academy,Private School,NW,599 Northmount Drive NW,Calgary,AB,T2K3J6,-114.0880221,51.08717329
Sir Winston Churchill High,Public School,NW,5220 Northland Drive NW,Calgary,AB,T2L2J6,-114.13999,51.1001127
Horizon Leadership Academy,Public School,SW,Building B4 Battleford Ave. SW,Calgary,AB,T3E7K9,-114.1190467,51.01764438
Renert,Private School,NW,14 Royal Vista Link NW,Calgary,AB,T3R0K4,-114.2028365,51.15183702
Chris Akkerman,Public School,NE,5004 Marbank Drive NE,Calgary,AB,T2A3J6,-113.963011,51.06375727
Guardian Angel,Separate School,SW,20 Aspen Hills Drive SW,Calgary,AB,T3H0G5,-114.2164654,51.04062873
Wood's Homes,Public School,NW,9400 48 Avenue NW,Calgary,AB,T3B2B2,-114.2242283,51.09609805
St. Joseph,Separate School,NW,2512 5 St NW,Calgary,AB,T2M3C7,-114.0733169,51.07478657
Holy Child,Separate School,SW,31 Silverado Terrace SW,Calgary,AB,T2X0K4,-114.0831381,50.88618302
Auburn Bay,Public School,SE,7 Auburn Bay Avenue SE,Calgary,AB,T3M0K6,-113.962328,50.896755
Holy Name,Separate School,SW,3011 35 St SW,Calgary,AB,T3E2Y7,-114.1390036,51.02827189
Sunnyside,Public School,NW,211 7 Street NW,Calgary,AB,T2N1S2,-114.0795441,51.05656238
Ranchlands,Public School,NW,610 Ranchlands Boulevard NW,Calgary,AB,T3G2C5,-114.1792097,51.11870483
Clarence Sansom,Public School,NE,5840 24 Avenue NE,Calgary,AB,T1Y6G4,-113.9491955,51.07461348
Eric Harvie,Public School,NW,357 Tuscany Drive NW,Calgary,AB,T3L3C9,-114.2511111,51.12804188
St. Augustine,Separate School,SW,7112 7 St SW,Calgary,AB,T2V1E9,-114.0807771,50.99111369
Southeast Elementary Campus,Charter,SE,9711 Academy Drive SE,Calgary,AB,T2J1A9,-114.0454063,50.96724193
Tyndale Christian,Private School,NE,28 Hart Estates Blvd. NE,Calgary,AB,T1X0L3,-113.8677457,51.05863393
"Almadina Language Charter Academy, Mountain View Campus",Charter,SE,2031 Sable Drive SE,Calgary,AB,T2B1R9,-113.986831,51.03220046
Royal Oak,Public School,NW,9100 Royal Birch Boulevard NW,Calgary,AB,T3G5R8,-114.2220693,51.1455728
Twelve Mile Coulee,Public School,NW,65 Tuscany Hills Road NW,Calgary,AB,T3L0C7,-114.2434801,51.12283617
St. Thomas Aquinas,Separate School,SW,4540 26 Ave SW,Calgary,AB,T3E0R1,-114.1517849,51.03098762
Renfrew Thomas W. Buchanan Centre,Private School,NE,2050 - 21 Street NE,Calgary,AB,T2X3V4,-114.0557423,50.90220617
Divine Mercy,Separate School,SE,228 Mahogany Blvd. SE,Calgary,AB,T3M1M5,-113.9239578,50.90155662
Panorama Hills,Public School,NW,1057 Panorama Hills Drive NW,Calgary,AB,T3K0S4,-114.0859214,51.15581401
Central Memorial High,Public School,SW,5111 21 Street SW,Calgary,AB,T3E1R9,-114.1135205,51.00792788
Apostles of Jesus,Separate School,NE,15 Skyview Ranch Street NE,Calgary,AB,T3N1H6,-113.9565131,51.15841731
Captain Nichola Goddard,Public School,NW,405 Panatella Boulevard NW,Calgary,AB,T3K0P3,-114.0886788,51.16245093
St. James,Separate School,SW,2227 58 Ave SW,Calgary,AB,T3E1N6,-114.1136684,51.00114196
James Short Memorial,Public School,SE,6333 5 Avenue SE,Calgary,AB,T2A3V7,-113.9427983,51.04786054
Mayland Heights,Public School,NE,2324 Maunsell Drive NE,Calgary,AB,T2E6A2,-114.0072928,51.05895181
Bob Edwards,Public School,NE,4424 Marlborough Drive NE,Calgary,AB,T2A2Z5,-113.9687737,51.0599294
Briar Hill,Public School,NW,1233 21 Street NW,Calgary,AB,T2N2L8,-114.1114185,51.0631133
Monsignor J.J. O'Brien,Separate School,SW,99 Bridlewood Rd SW,Calgary,AB,T2Y4J5,-114.10386,50.9015676
Sir Wilfrid Laurier,Public School,SE,819 32 Street SE,Calgary,AB,T2A0Y9,-113.9893061,51.04573477
Horizon Heritage Arabic,Private School,ok,Unit P55 1610 - 37 St. SW PO Box 34028 Westbrook,Calgary,AB,T3C3P1,-114.1398144,51.03967371
Menno Simons Christian,Public School,SW,7000 Elkton Drive SW,Calgary,AB,T3H4Y7,-114.188501,51.02420032
Bowness High,Public School,NW,4627 77 Street NW,Calgary,AB,T3B2N6,-114.200251,51.09317526
Northeast Elementary Campus,Charter,NE,1140 Mayland Drive NE,Calgary,AB,T2E6C8,-114.0112768,51.06418734
Sir John A. Macdonald,Public School,NW,6600 4 Street NW,Calgary,AB,T2K1C2,-114.0700457,51.11147702
Bishop Kidd,Separate School,SE,1420 28 St SE,Calgary,AB,T2A0Y8,-113.9921283,51.0405772
Calgary Christian,Public School,SW,2839 - 49 Street SW,Calgary,AB,T3E3X9,-114.1589506,51.02746775
River Valley School ECS,Private School,NW,3127 Bowwood Drive NW,Calgary,AB,T3B2E7,-114.1743441,51.07946941
Calgary Chinese Private,Private School,.W,126 2nd Avenue S.W,Calgary,AB,T2P0B9,-114.0642879,51.05161459
Thorncliffe,Public School,NW,5646 Thornton Road NW,Calgary,AB,T2K3B9,-114.0670966,51.10232312
St. Gregory,Separate School,SW,5340 26 Ave SW,Calgary,AB,T3E0R6,-114.1604737,51.03113745
Western Canada High,Public School,SW,641 17 Avenue SW,Calgary,AB,T2S0B5,-114.0775476,51.03699475
North Haven,Public School,NW,4922 North Haven Drive NW,Calgary,AB,T2K2K2,-114.0866128,51.09750908
Mount Royal University - City Centre Campus,Post Secondary,,,Calgary,AB,T2P3T5,-114.0803108,51.04955283
St. Bede,Separate School,NW,333 Bermuda Dr NW,Calgary,AB,T3K2J5,-114.082846,51.13167374
O.S. Geiger,Public School,NE,100 Castlebrook Drive NE,Calgary,AB,T3J2J4,-113.9615405,51.10488651
Haultain Memorial,Public School,SE,605 Queensland Drive SE,Calgary,AB,T2J4S8,-114.0233187,50.93954417
River Valley,Private School,NW,3127 Bowwood Drive NW,Calgary,AB,T3B2E7,-114.1743441,51.07946941
John W. Costello Catholic,Separate School,SW,300 Strathcona Dr SW,Calgary,AB,T3H1N9,-114.1807075,51.04883256
Our Lady of Fatima,Separate School,NE,6320 Taralea Pk NE,Calgary,AB,T3J5C4,-113.9379102,51.11632175
Renfrew Educational Services-Bowness Centre,Private School,NE,2050 - 21 Street NE,Calgary,AB,T3B2B2,-114.2119244,51.09632928
Nellie McClung,Public School,SW,2315 Palliser Drive SW,Calgary,AB,T2V3S4,-114.1130138,50.9684953
Senator Patrick Burns,Public School,NW,2155 Chilcotin Road NW,Calgary,AB,T2L0X2,-114.1155367,51.0882111
Renfrew Educational Services - Park Place Centre,Private School,NE,2050 - 21 Street NE,Calgary,AB,T2E6S5,-114.0082917,51.06962096
St. Sylvester,Separate School,NW,7318 Silver Springs Blvd NW,Calgary,AB,T3B4N1,-114.1942714,51.10926175
Ian Bazalgette,Public School,SE,3909 26 Avenue SE,Calgary,AB,T2B0C6,-113.9776781,51.02983255
Connect Charter,Charter,SW,5915 Lewis Drive SW,Calgary,AB,T3E5Z4,-114.1357584,51.00037352
Don Bosco,Separate School,SE,13615 Deer Ridge Dr SE,Calgary,AB,T2J6S7,-114.0182527,50.93130069
Hawkwood,Public School,NW,650 Hawkwood Boulevard NW,Calgary,AB,T3G2V7,-114.1787461,51.13065691
Queen Elizabeth,Public School,NW,402 18 Street NW,Calgary,AB,T2N2G5,-114.1019611,51.05545841
R.T. Alderman,Public School,SE,725 Mapleton Drive SE,Calgary,AB,T2J1S1,-114.0445879,50.96115938
St. Henry,Separate School,NW,7423 10 St NW,Calgary,AB,T2K1H5,-114.0801778,51.11759752
The Chinese Academy,Private School,NE,"#191, 1518 Centre Street NE",Calgary,AB,T2K1C2,-114.0701312,51.11279744
Earl Grey,Public School,SW,845 Hillcrest Avenue SW,Calgary,AB,T2T0Z1,-114.0826538,51.03087449
Somerset,Public School,SW,150 Somerset Manor SW,Calgary,AB,T2Y4S2,-114.0848851,50.89740583
Silver Springs,Public School,NW,7235 Silvermead Road NW,Calgary,AB,T3B3V1,-114.1908255,51.10571021
Deer Run,Public School,SE,2127 146 Avenue SE,Calgary,AB,T2J6P8,-114.0094545,50.92155543
Colonel Macleod,Public School,NE,1610 6 Street NE,Calgary,AB,T2E3Y9,-114.0476454,51.06618282
William Roper Hull,Public School,SW,2266 Woodpark Avenue SW,Calgary,AB,T2W2Z8,-114.1138325,50.94836265
North Middle School Campus,Charter,NE,211 McKnight Blvd. NE,Calgary,AB,T2E5S7,-114.060601,51.09545305
St. Peter,Separate School,SE,720 58 St SE,Calgary,AB,T2A5L9,-113.949107,51.04618504
"Almadina Language Charter Academy, Ogden Campus",Charter,SE,1919 - 76 Ave SE,Calgary,AB,T2C0G8,-114.0121229,50.98449658
Father Lacombe High,Separate School,SE,3615 Radcliffe Dr SE,Calgary,AB,T2A6B4,-113.9832464,51.04739732
Lycee Louis Pasteur,Private School,SW,4099 Garrison Blvd. SW,Calgary,AB,T2T6G2,-114.1144831,51.01764277
St. Kateri Tekakwitha,Separate School,NE,1005 Abbotsford Dr NE,Calgary,AB,T2A7N5,-113.9276608,51.0618538
St. Pius X,Separate School,NW,2312 18 St NW,Calgary,AB,T2M3T5,-114.1034063,51.07297253
Filipino Language and Cultural School of Calgary,Private School,NE,Bay 204 & 206 4656 Westwinds Dr NE,Calgary,AB,T3J3Z5,-113.9678004,51.10064698
Our Lady of Peace,Separate School,SW,14826 Millrise Hill SW,Calgary,AB,T2Y2B4,-114.0877057,50.91846778
Calgary Chinese Alliance,Private School,NE,150 Beddington Blvd. NE,Calgary,AB,T3K2E2,-114.0676255,51.12573264
Georges P. Vanier,Public School,NE,509 32 Avenue NE,Calgary,AB,T2E2H3,-114.0520691,51.08060531
William Aberhart High,Public School,NW,3009 Morley Trail NW,Calgary,AB,T2M4G9,-114.1153375,51.07866951
